annotation_label_id;label_id;label_name;label_hierarchy;user_id;firstname;lastname;image_id;filename;image_longitude;image_latitude;shape_id;shape_name;points;attributes;annotation_id
203;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44416;20190916T144753.446602Z.jpg;;;4;Circle;[3700.19,1688.52,161.17];"{""size"":5898432,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";89
XXX;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44416;20190916T144753.446602Z.jpg;;;4;Circle;[2720,2550,100];"{""size"":5898432,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";89
204;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44439;20190916T144907.270445Z.jpg;;;4;Circle;[1533.12,167.84,97.11];"{""size"":6124612,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";98
205;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44452;20190916T160721.898804Z.jpg;;;4;Circle;[3710.55,1763.11,111.51];"{""size"":6521090,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";102
XXX;76;Ball;Porifera > Morphotype > Vase;deleted;deleted;deleted;44452;20190916T160721.898804Z.jpg;;;4;Circle;[1560,2625,36];"{""size"":6521090,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";102
206;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44461;20190916T160753.152790Z.jpg;;;4;Circle;[2055.2,2573,244];"{""size"":6318841,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";105
207;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44493;20190916T160935.553210Z.jpg;;;4;Circle;[2051.06,826.66,135.29];"{""size"":6177396,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";110
208;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44493;20190916T160935.553210Z.jpg;;;4;Circle;[2017.91,47.67,124.65];"{""size"":6177396,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";111
209;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44493;20190916T160935.553210Z.jpg;;;4;Circle;[3613.18,627.77,144.31];"{""size"":6177396,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";112
210;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44493;20190916T160935.553210Z.jpg;;;4;Circle;[97.37,2546.24,115.2];"{""size"":6177396,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";113
211;76;Vase;Porifera > Morphotype > Vase;deleted;deleted;deleted;44503;20190916T161006.367399Z.jpg;;;4;Circle;[3778.92,859.81,129.07];"{""size"":6070696,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";114
