annotation_label_id;label_id;label_name;label_hierarchy;user_id;firstname;lastname;image_id;filename;image_longitude;image_latitude;shape_id;shape_name;points;attributes;annotation_id
100;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[132.59,184.41,36.24];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";131
101;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[379.14,294.22,29.3];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";132
102;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[1877.03,772.8,52.82];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";133
103;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[2175.37,567.69,39.8];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";134
104;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[3391.5,1682.31,55.17];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";135
105;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[2838.33,1502.06,52.94];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";136
106;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[2038.63,2668.47,53.87];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";138
107;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[629.82,2303.84,46.88];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";139
108;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[534.52,1841.83,46.97];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";140
109;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;44863;20190916T162903.779988Z.jpg;;;4;Circle;[3969.53,1243.09,38.2];"{""size"":6205506,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";143
110;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;47917;20190916T203410.023273Z.jpg;;;4;Circle;[2229.23,1721.67,63.99];"{""size"":5353460,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";163
111;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;47917;20190916T203410.023273Z.jpg;;;4;Circle;[3584.17,592.55,65.94];"{""size"":5353460,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";167
112;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;48591;20190916T224200.826296Z.jpg;;;4;Circle;[760.34,1922.63,77.85];"{""size"":5295095,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";170
113;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;53908;20190917T073303.496647Z.jpg;;;4;Circle;[4141.48,1756.89,53.1];"{""size"":4768392,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";200
114;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;53864;20190917T073051.563667Z.jpg;;;4;Circle;[3189.5,781.08,64.6];"{""size"":4493613,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";231
115;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;53861;20190917T073042.491768Z.jpg;;;4;Circle;[2107,673.35,45.63];"{""size"":4577245,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";296
116;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;53855;20190917T073024.498257Z.jpg;;;4;Circle;[3675.33,2769.99,48.19];"{""size"":4251787,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";353
117;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;48776;20190916T225115.893777Z.jpg;;;4;Circle;[3246.48,1908.13,42.71];"{""size"":5247550,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";436
118;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;48776;20190916T225115.893777Z.jpg;;;4;Circle;[350.13,1744.46,51.96];"{""size"":5247550,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";444
119;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;48721;20190916T224830.886812Z.jpg;;;4;Circle;[3923.95,1628.44,78.1];"{""size"":5406414,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";447
120;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;48674;20190916T224609.868840Z.jpg;;;4;Circle;[153.31,1982.71,83.82];"{""size"":5398957,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";456
121;72;2_Ball;Porifera > Morphotype > 2_Ball;deleted;deleted;deleted;48674;20190916T224609.868840Z.jpg;;;4;Circle;[588.38,1350.82,35.76];"{""size"":5398957,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";457
