annotation_label_id;label_id;label_name;label_hierarchy;user_id;firstname;lastname;image_id;filename;image_longitude;image_latitude;shape_id;shape_name;points;attributes;annotation_id
1;30;Crustacea;Crustacea;deleted;deleted;deleted;44404;20190916T144718.592737Z.jpg;;;5;Rectangle;[2970.98,653.32,2998.95,986.88,3682.53,929.56,3654.56,596.01];"{""size"":6367782,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";81
2;1;#Flous;#Flous;deleted;deleted;deleted;44423;20190916T144815.771440Z.jpg;;;1;Point;[3464.01,2247.9];"{""size"":5515934,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";92
3;2;#Unknown;#Unknown;deleted;deleted;deleted;44503;20190916T161006.367399Z.jpg;;;4;Circle;[2237.52,383.3,60.4];"{""size"":6070696,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";116
4;2;#Unknown;#Unknown;deleted;deleted;deleted;44724;20190916T162148.845610Z.jpg;;;4;Circle;[1301.08,2185.75,168.26];"{""size"":6406773,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";128
5;25;Chordata;Chordata;deleted;deleted;deleted;44941;20190916T163308.380386Z.jpg;;;5;Rectangle;[1325.62,2633.39,1818.7,2898.58,1943.65,2666.26,1450.56,2401.07];"{""size"":6148582,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";145
6;1;#Flous;#Flous;deleted;deleted;deleted;44422;20190916T144812.925817Z.jpg;;;4;Circle;[1814.88,656.78,137.18];"{""size"":5287118,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";91
7;1;#Flous;#Flous;deleted;deleted;deleted;53921;20190917T073342.422391Z.jpg;;;4;Circle;[136.74,215.49,87.04];"{""size"":4592487,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";187
8;1;#Flous;#Flous;deleted;deleted;deleted;53913;20190917T073318.611392Z.jpg;;;4;Circle;[3822.43,965.47,87.95];"{""size"":4983098,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";196
9;1;#Flous;#Flous;deleted;deleted;deleted;53910;20190917T073309.618704Z.jpg;;;4;Circle;[4104.17,2513.09,96.13];"{""size"":4756451,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";199
10;1;#Flous;#Flous;deleted;deleted;deleted;53886;20190917T073157.449272Z.jpg;;;4;Circle;[1073.18,254.85,90.88];"{""size"":4806530,""mimetype"":""image\/jpeg"",""width"":4243,""height"":2828}";207
